school,department
SAAT,Agricultural Economics
SAAT,Agricultural Extension
SAAT,Animal Science & Technology
SAAT,Crop Science & Technology
SAAT,Fisheries & Aquaculture Technology
SAAT,Forestry & Wildlife Technology
SAAT,Soil Science & Technology

SBMS,Anatomy
SBMS,Physiology

SOBS,Biochemistry
SOBS,Biology
SOBS,Biotechnology
SOBS,Microbiology
SOBS,Forensic Science

SEET,Agricultural & Bioresources Engineering
SEET,Chemical Engineering
SEET,Civil Engineering
SEET,Food Science & Technology
SEET,Materials & Metallurgical Engineering
SEET,Mechanical Engineering
SEET,Mechatronics Engineering
SEET,Petroleum Engineering
SEET,Polymer & Textile Engineering

SESET,Computer Engineering
SESET,Electrical Power Engineering
SESET,Electronics Engineering
SESET,Telecommunications Engineering
SESET,Mechatronics Engineering

SOES,Architecture
SOES,Building Technology
SOES,Environmental Management
SOES,Quantity Surveying
SOES,Surveying & Geoinformatics
SOES,Urban & Regional Planning

SOHT,Biomedical Technology
SOHT,Dental Technology
SOHT,Optometry
SOHT,Prosthetics & Orthotics
SOHT,Public Health Technology

SICT,Computer Science
SICT,Information Technology
SICT,Cyber Security
SICT,Software Engineering

SMAT,Financial Management Technology
SMAT,Information Management Technology
SMAT,Maritime Management Technology
SMAT,Project Management Technology
SMAT,Transport Management Technology

SOPS,Chemistry
SOPS,Geology
SOPS,Mathematics
SOPS,Physics
SOPS,Science Laboratory Technology
SOPS,Statistics
